Response Datetime,Position Justification,Draft Feedback,Other Chartacteristics,Zip Code,Birth Year Range,Source to Discuss Denton,Other Source to Discuss Denton,Type of Projects Interest,Other Type of Projects Interest,Add to City Email List,Response ID,City Residency,Property Ownership,Business Ownership,Student Status,Rentership,Work Locus,Ordinance Position
56:05.0,"There needs to be an exception added that allows private businesses to deny access on the basis of sex or gender identity to facilities or public accommodations for privacy such as restrooms, shower facilities, locker rooms, dressing rooms, and any similar facility.",,,76209,1980 - 2009,www.cityofdenton.com,,"Planning and Development, Parks and Recreation, Transportation and Infrastructure, Utilities (Water/Wastewater, Electricity)",,No,723923,Resident,Property Owner,Non Business Owner,Non Student,Non Renter,Works in Denton,Oppose
46:12.0,"I have one small concern about the ordinance, but still support it: In Section 14-203-11, (b): the complainant shall supply an email address. Not everyone has an email address; could you swap that language for something like ""a phone number or email address""? I'm specifically concerned about older Denton residents who may not use email and people who don't have reliable internet access.",Let's pass this!,,76209,1980 - 2009,City Social Media Account,,"Natural Environment/Resource Conservation, Sustainability, Community/Neighborhood Programs, Planning and Development, Public Safety (Police, Fire, Emergency Preparedness, Parks and Recreation, Transportation and Infrastructure, Utilities (Water/Wastewater, Electricity), Trash, Recycling, and Composting",,Yes,724111,Resident,Non Property Owner,Non Business Owner,Non Student,Renter,Works outside Denton,Support
17:21.0,I believe it's important to protect those who are often marginalized in order to achieve a better and more equitable society.,"None, it seems fine. Nothing was flagrantly wrong with it",,76205,1980 - 2009,City Social Media Account,,"Natural Environment/Resource Conservation, Sustainability, Community/Neighborhood Programs, Planning and Development, Public Safety (Police, Fire, Emergency Preparedness, Parks and Recreation, Transportation and Infrastructure, Utilities (Water/Wastewater, Electricity), Trash, Recycling, and Composting",,Yes,724144,Resident,Non Property Owner,Non Business Owner,Non Student,Renter,Works in Denton,Support
29:43.0,"I'd like to see us pass a strong NDO that covers gender identity and sexual orientation. It's ok to make sure this is compliant with state and federal laws, but let's not water this down too much. And let's get this done. We have been working on this for years!",,,76207,1950 - 1979,City-sponsored Event,,"Natural Environment/Resource Conservation, Sustainability",,Yes,724300,Resident,Property Owner,Non Business Owner,Non Student,Non Renter,Works in Denton,Support
09:08.0,"I am a member of the local LGBT community as well as a lifelong resident of our beloved city. It's truly my favorite place in the world! It would mean so much to me and my friends to know that the place we love has our backs when forces to conspire to gin up hate and harassment against LGBT people, especially trans and nonbinary people. It would go a long way to helping us continue to feel safe, welcome, and able to continue giving Denton our art, labor, and dollars.",,,76201,1980 - 2009,City Social Media Account,,"Natural Environment/Resource Conservation, Sustainability, Transportation and Infrastructure, Trash, Recycling, and Composting",,,724362,Resident,Non Property Owner,Non Business Owner,Non Student,Renter,Works in Denton,Support
48:40.0,"If Denton wants to play in the big league then we must have a well crafted NDO. No big company will bring their business here if their people don’t feel welcomed and protected. Further, the citizens of this city deserve protections against any form of discrimination.",,,76201,1950 - 1979,City Social Media Account,,"Natural Environment/Resource Conservation, Sustainability, Community/Neighborhood Programs, Planning and Development, Public Safety (Police, Fire, Emergency Preparedness, Parks and Recreation, Transportation and Infrastructure, Utilities (Water/Wastewater, Electricity), Trash, Recycling, and Composting",,Yes,726034,Resident,Property Owner,Non Business Owner,Non Student,Non Renter,Works outside Denton,Support
08:49.0,"I'm in full agreement with the draft, I would like a higher penalty for those that refuse conciliation, but I do understand that the $500 Class C misdemeanor is the maximum the city can impose legally.",,,76205,1950 - 1979,City Social Media Account,,"Natural Environment/Resource Conservation, Sustainability, Planning and Development, Public Safety (Police, Fire, Emergency Preparedness, Trash, Recycling, and Composting",,Yes,726948,Resident,Non Property Owner,Non Business Owner,Non Student,Renter,Works outside Denton,Support
59:41.0,"I do not want men allowed in women's restrooms regardless of what gender they identify with. I am a mother of two young daughters and this is a true concern to me.  

This also gets into territory that violates state law if someone asserts a religious exemption and the city attempts to prosecute the person based on this ordinance.",,,76210,1950 - 1979,Family or Friend,,"Natural Environment/Resource Conservation, Community/Neighborhood Programs, Public Safety (Police, Fire, Emergency Preparedness, Parks and Recreation, Utilities (Water/Wastewater, Electricity), Trash, Recycling, and Composting",,Yes,727272,Resident,Non Property Owner,Non Business Owner,Non Student,Non Renter,Works outside Denton,Oppose
55:40.0,I believe this an important measure for the City to ensure all are welcome and protected in our community.,,,76209,1950 - 1979,Family or Friend,,"Community/Neighborhood Programs, Planning and Development, Public Safety (Police, Fire, Emergency Preparedness, Parks and Recreation",,No,727790,Resident,Property Owner,Non Business Owner,Non Student,Non Renter,Works in Denton,Support
37:24.0,"This is unnecessary because all people are protected from discrimination in housing, employment, education, and shopping/entertainment. The purpose of this ordinance is not very clear, but it appears to be indicating that a business does not have the right to have male and female separate facilities, such as restrooms and locker rooms. This is a problem for me as a parent to a young daughter. It opens the door for opportunistic predators to violate my privacy and safety and the privacy and safety of my child. This ordinance does not prevent discrimination, it elevates a persons gender identity and sexual orientation to be more important than anyone else’s freedom.",This should absolutely NOT be a decision made solely by city council. This is something that should be presented to voters. We deserve to have our voices heard.,,76205,1950 - 1979,"Family or Friend, City Social Media Account",,"Community/Neighborhood Programs, Public Safety (Police, Fire, Emergency Preparedness, Parks and Recreation",,Yes,728027,Resident,Property Owner,Non Business Owner,Non Student,Non Renter,Works in Denton,Oppose
35:50.0,"While I support the parts of the draft acknowledging equal opportunities for housing, I do not agree with allowing those born as a female or male to use bathrooms of their choice. As a parent and grandparent in our community, my concern for allowing individuals to use the bathroom of their choice lies in protecting the younger generation from those who might have impure motives. If all businesses had private one room restrooms that would be different, but restrooms with multiple stalls should be reserved for those born as either male or female with the genders kept separate, in my opinion.","I am impressed that religious, local, and state organizations are exempt from the ordinance, and agree with that stance of the ordinance.",,76209,1950 - 1979,City Social Media Account,,"Natural Environment/Resource Conservation, Public Safety (Police, Fire, Emergency Preparedness, Parks and Recreation, Transportation and Infrastructure, Trash, Recycling, and Composting",,No,728389,Resident,Property Owner,Non Business Owner,Non Student,Non Renter,Works outside Denton,Oppose
17:03.0,"I am concerned with 3 aspects: 
1. The definition of a Religious Organization in the form of a school (Sec. 14-203-1. Equal rights policy - a-29-b-1,2).  Some religious schools do not direct their curriculum toward a specific religious segment, but a broader segment of a certain religion.  i.e. Christian in general as opposed to Protestant, Catholic, or any of their sub-sets. Let alone the way religious texts might be interpreted.  I don't want the City of Denton determining how a religious text should be interpreted in order to determine whether a violation has occurred in your Ordinance. 

2. The use of ""bona fide"" in both Sec. 14-203-4: Public Accommodations - c-1 and Sec. 14-203-5: Employment Practices - b-1.  Who decides what is a justifiable social, fraternal, educational, political, religious, or civic organization (or private club) and who decides what a justifiable occupational qualification is for the members of such an organization or the owner of such a business? 

3. There are some forms of business which go beyond production and supply of a good or service and enter into an endorsement of a personal/religious conviction.  I agree that to provide a good or services equally should be carried out... but to add an endorsement of a lifestyle which is in violation of one's personal or religious convictions would cross the line from discrimination to a violation of individual liberty (it would seem to me).  For example, if a Muslim t-shirt printing company was asked to design a gay pride t-shirt promoting homosexuality, that would go beyond providing printed t-shirts to creatively endorsing homosexuality. This is not just provision of a pre-existing commodity, but creatively promoting a practice in violation of a religious conviction.","Thank you for your hard work in this Ordinance. This is a challenging document to produce to balance individual rights of people on both sides of these issues.  I am curious, with the many mentions of printing and publishing notices which prohibit an individual's ability to rent, buy, obtain a good or service, enter a facility, etc - has there been an occasion of violation or the rise of a complaint about this in our fine city of Denton?  It seems to be a very equality-founded city.",,76209,1950 - 1979,"Family or Friend, City Social Media Account",,"Community/Neighborhood Programs, Planning and Development, Public Safety (Police, Fire, Emergency Preparedness, Parks and Recreation, Transportation and Infrastructure",,No,729111,Resident,Property Owner,Non Business Owner,Non Student,Non Renter,Works in Denton,Oppose
50:12.0,Private business's should be able to choose who they serve and employ.,The vague language in the order opens the door for legal challenges to any business based on an individuals feeling of discrimination. Choosing not to employ or serve someone  is not discrimination.,,76208,1950 - 1979,Family or Friend,,"Public Safety (Police, Fire, Emergency Preparedness, Parks and Recreation, Transportation and Infrastructure",,No,729155,Non Resident,Non Property Owner,Non Business Owner,Non Student,Non Renter,Works in Denton,Oppose
38:58.0,"I support this ordinance because it is currently entirely legal for an employer to terminate employment based solely on a person's perceived or actual gender and sexual orientation. It is totally possible for workers to be passed over, not promoted, or fired from their jobs due to characteristics completely immaterial to their job performance. There is no legal recourse for anyone to challenge this kind of discrimination. The NDO lays out a path for these cases to be disputed and scrutinized. Without this ordinance, Denton would continue to convey to its community members that gender identity or sexual orientation are actual valid reasons to end your employment or deny your full participation at the workplace. Additionally, I rebut the idea that this creates ""new rights"" for the LGBTQ community. It is clear that this ordinance would also equally apply non-discrimination protections to cis-het persons who could be fired or passed over because of their gender identity and sexual orientation.","I am curious to learn that if someone finds themselves needing this recourse, how burdensome might the process be? It is easy to be discriminated against by this behavior, so if the process to combat it is overly complicated, then the NDO will be of little value or protection for the ones who need it most.",,76210,1980 - 2009,"Newspaper/Local News, www.cityofdenton.com",,"Natural Environment/Resource Conservation, Sustainability, Community/Neighborhood Programs, Planning and Development, Public Safety (Police, Fire, Emergency Preparedness, Parks and Recreation, Transportation and Infrastructure, Utilities (Water/Wastewater, Electricity), Trash, Recycling, and Composting",,Yes,729272,Resident,Property Owner,Business Owner,Non Student,Non Renter,Works in Denton,Support
10:02.0,,,,76210,1980 - 2009,Family or Friend,,"Natural Environment/Resource Conservation, Sustainability, Community/Neighborhood Programs, Parks and Recreation, Transportation and Infrastructure, Trash, Recycling, and Composting",,No,729978,Resident,Non Property Owner,Non Business Owner,Student,Renter,Works outside Denton,Support
11:49.0,I feel it is important to have an NDO in our city at this time.,I feel it is well written and inclusive.,,76209,1950 - 1979,"Family or Friend, City Social Media Account",,"Natural Environment/Resource Conservation, Sustainability, Community/Neighborhood Programs, Utilities (Water/Wastewater, Electricity), Trash, Recycling, and Composting",,No,730142,Resident,Property Owner,Non Business Owner,Non Student,Non Renter,Works outside Denton,Support
28:20.0,Reasons?  It is not necessary - it is extra administrative burdens for a virtually non existent problem.,"Please stop trying to repair problems that do not exist.  If a business wishes to exclude a certain segment of the population, they eliminate that much of the market.",,None provided,1950 - 1979,www.cityofdenton.com,,"Natural Environment/Resource Conservation, Public Safety (Police, Fire, Emergency Preparedness, Parks and Recreation, Transportation and Infrastructure",,Yes,730407,Resident,Non Property Owner,Non Business Owner,Non Student,Non Renter,Works in Denton,Oppose
59:28.0,I believe that everyone should be protected and allowed to work and exist as their authentic self.,N/A,,76208,1980 - 2009,Family or Friend,,"Natural Environment/Resource Conservation, Sustainability, Community/Neighborhood Programs, Utilities (Water/Wastewater, Electricity)",,Yes,731379,Resident,Non Property Owner,Non Business Owner,Non Student,Renter,Works in Denton,Support
37:18.0,"Non discrimination acts have been quite essential - though they haven’t always been practical, or practiced for that matter - in our nation’s history. I agree with the majority of this act except for the inclusion of gender identity. I view culture and my responsibility to it through the lens of a Christian worldview. What this means is that I am essentially required to abide by truth, or reality as we can most accurately know it. Therefore, due to conviction and reason, I cannot accept gender identity (I.e. transgenderism, or gender dysphoria) as having a legitimate claim for punitive action in Denton's society. This is primarily because transgenderism 1) does not accord with reality as it is physically and evidently knowable. 2)  It does not encourage human flourishing, but instead propagates  physical, chemical, and mental self-mutilation. Thereby causing immense struggles of identity, belonging, and mental health among other things. 

That stated, it is my duty to love and respect all individuals in the transgender community. Simultaneously, it is also my duty (and right) to be able to civilly and professionally disagree with someone of that orientation out of love for them. What I mean, is that I do not wish to see them come to harm by encouraging them towards, or being unable - due to local policy - to discourage them away from, the grim affects of gender identity issues. 

Love, truth, and grace are not mutually exclusive virtues, but compatible and reliant each one on the other. 

Is it wrong to speak with ill or hurtful intentions towards someone struggling with gender identity? Yes. 

Is it wrong to act or speak abrasively towards their community? Yes. 

Is it wrong to turn one away who is seeking gainful employment because he/she is struggling with gender identity? Potentially. 

Is it wrong to be required by local ordinance to affirm and abide by untruth? To that which does not accord to reality? Absolutely. 

Sometimes the most loving thing is having the ability to respectively, and truthfully disagree in professional and personal settings. This ordinance puts that in jeopardy.",,,76205,1980 - 2009,www.cityofdenton.com,,"Natural Environment/Resource Conservation, Community/Neighborhood Programs, Trash, Recycling, and Composting",,,731876,Resident,Property Owner,Non Business Owner,Non Student,Non Renter,Works in Denton,Oppose
17:24.0,"1. This is similar with what other cities have done to protect residents. 
2. The economic upside is tremendous 
3. It is the RIGHT thing to do.","Please pass this, and please pass this now!",,76209,1980 - 2009,City Social Media Account,,"Community/Neighborhood Programs, Public Safety (Police, Fire, Emergency Preparedness, Parks and Recreation, Trash, Recycling, and Composting",,Yes,731962,Resident,Non Property Owner,Non Business Owner,Non Student,Renter,Works outside Denton,Support
38:41.0,I support the ordinance because I think Denton already does a lot of great things to support their community members and putting it into an official city ordinance shows that we take seriously being a city for all people and gives people a document to point for avenues for reconciliation and justice if they are discriminated against. We are a growing city and want to be a better city to all who live here and this helps make that possible.,thank you for working on this.,,76210,1980 - 2009,Family or Friend,,,,No,733929,Resident,Non Property Owner,Non Business Owner,Non Student,Renter,Works in Denton,Support
10:03.0,Businesses have the right to determine with whom they will do business and to do so without harassment,,,76210,1950 - 1979,www.cityofdenton.com,,"Community/Neighborhood Programs, Planning and Development, Transportation and Infrastructure",,No,734867,Resident,Property Owner,Non Business Owner,Non Student,Non Renter,Works outside Denton,Oppose
34:50.0,These ordinances seem to cause more trouble and stir up those that feel like they are discriminated.,"So much more can be done to help those from single parent homes or troubled homes.  Enforcing standards in schools to keep order so students can become educated, rather than taught to be angry and that they’ve been mistreated.  
If they are expected to obey and sit quietly and read, do math, learn science and be successful in life, they will not be walking around with a chip on their shoulder.  
Bringing God and right and wrong back into the schools is a must!",,None provided,1950 - 1979,Family or Friend,,"Planning and Development, Public Safety (Police, Fire, Emergency Preparedness, Parks and Recreation",,,735754,Non Resident,Property Owner,Business Owner,Non Student,Non Renter,Works outside Denton,Oppose
26:19.0,I think there is a moral imperative to extend legal protection to people who are members of a class that may face discrimination.   I also appreciate the exemptions for religious organizations as is the case in many other similar ordinances.  I think passing such an ordinance would send a strong signal to the larger community and world about the kind of place that Denton is and wishes to be.,Thanks to those who have pushed to bring this to fruition.,,None provided,1950 - 1979,,,,,,736359,Resident,Property Owner,Non Business Owner,Student,Non Renter,Works in Denton,Support
38:16.0,"'-I want to continue to allow private business/clubs to make their own rules for what they allow and what goes along with their guidelines.
-I feel this has nothing to do with the discrimination of people with disabilities or age, it's just a way of allowing transgender people to go in whatever bathroom and I don't want a trans coming into the bathroom with my children. I do not want to help normalize this ridiculousness.","Sec. 14- 203-5
a. 1.  I believe an Employer should be able to hire whomever he chooses.  He will be the one working with them.  Their appearance may not meet the expectations of his company.
Sec. 14-203-6
c. 1. Yes I believe you should be able to sell your own house or rent it out to whomever you choose.",,76210,1980 - 2009,City Social Media Account,,"Natural Environment/Resource Conservation, Community/Neighborhood Programs, Public Safety (Police, Fire, Emergency Preparedness, Parks and Recreation",,No,738670,Resident,Non Property Owner,Non Business Owner,Non Student,Renter,Works in Denton,Oppose
37:30.0,,,,76205,1930 - 1949,Family or Friend,,"Natural Environment/Resource Conservation, Sustainability, Community/Neighborhood Programs, Parks and Recreation, Trash, Recycling, and Composting",,Yes,739013,Resident,Property Owner,Non Business Owner,Non Student,Non Renter,Works outside Denton,Support
50:25.0,,,,None provided,1980 - 2009,"www.cityofdenton.com, City Social Media Account",,,,No,739666,Resident,Property Owner,Non Business Owner,Non Student,Non Renter,Works in Denton,Support
24:01.0,"I am a long time resident of Denton, 43 years, and I oppose this ordinance. Everyone in America is afforded inalienable rights under the Constitution and Bill of Rights. This ordinance is a thinly veiled facade to give transgender people EXTRA privileges to enter and use public private facilities of their choosing. This puts the burden of privacy, security, safety and comfort on biological women and biological men. Whether or not all of the population want to agree or accept the fact that gender dysphoria/dysmorphia is a mental disorder, that is exactly what it is and should not be pandered to and catered to by the exceedingly larger portion of the population. By no means should transgenders be refused service, with some exceptions of it infringing on a server/company's rights/religious objections such as the Canadian case. (A non-transitioned trans woman was denied a bikini wax and sued the salon. The spa publicly stated it did not service men and the spa worker felt very uncomfortable with this request) Of course trans should not be denied employment if the employer finds they are suited for the job and the same for housing but these rights are already covered by the Federal Government for ALL American citizens. They should not receive preferential treatment simply because they are trans. This ordinance shows partiality to a very minor portion of the population and most of the ordinance simply restates Federal law. That indicates to me that there are alterior motives hidden somewhere in the ordinance to be utilized somewhere down the road. I strongly oppose this ordinance.",,,76208,1950 - 1979,City Social Media Account,,Community/Neighborhood Programs,,,740394,Resident,Property Owner,Non Business Owner,Non Student,Non Renter,Works outside Denton,Oppose
00:39.0,,,,76205,1980 - 2009,Newspaper/Local News,,"Natural Environment/Resource Conservation, Sustainability, Community/Neighborhood Programs, Parks and Recreation, Transportation and Infrastructure, Utilities (Water/Wastewater, Electricity), Trash, Recycling, and Composting",,Yes,744567,Resident,Non Property Owner,Non Business Owner,Non Student,Renter,Works outside Denton,Support
22:26.0,,,,76201,1980 - 2009,City Social Media Account,,"Natural Environment/Resource Conservation, Sustainability, Community/Neighborhood Programs, Planning and Development, Public Safety (Police, Fire, Emergency Preparedness, Parks and Recreation, Transportation and Infrastructure, Utilities (Water/Wastewater, Electricity), Trash, Recycling, and Composting",,Yes,744922,Resident,Property Owner,Non Business Owner,Non Student,Non Renter,Works outside Denton,Support
35:09.0,,,,76209,1980 - 2009,Family or Friend,,"Community/Neighborhood Programs, Planning and Development, Parks and Recreation, Trash, Recycling, and Composting",,No,744981,Resident,Non Property Owner,Non Business Owner,Non Student,Renter,Works in Denton,Support
58:09.0,"Denton has a very diverse population that deserves to be legally protected in public services. With the recent out cry from fringe conservatives over trans people, explicit protections for bathroom access that coincides with their gender identity.",,,76201,1980 - 2009,City Social Media Account,,"Natural Environment/Resource Conservation, Sustainability, Community/Neighborhood Programs, Planning and Development, Transportation and Infrastructure, Utilities (Water/Wastewater, Electricity), Trash, Recycling, and Composting",,No,745009,Resident,Non Property Owner,Non Business Owner,Student,Renter,Works in Denton,Support
21:10.0,"All citizens deserve equal protection and rights. And unfortunately if you don’t spell out that fact in ordinances such as this, then those who choose hate will find ways to oppress those they deem unworthy without repercussion.",,,76210,1980 - 2009,Family or Friend,,"Natural Environment/Resource Conservation, Sustainability, Community/Neighborhood Programs, Parks and Recreation, Transportation and Infrastructure, Utilities (Water/Wastewater, Electricity), Trash, Recycling, and Composting",,,745194,Resident,Non Property Owner,Non Business Owner,Non Student,Renter,Works outside Denton,Support
